record_id,anomaly_category,anomaly_dollars
2801,retro_pay_outlier,4420.31
8401,retro_pay_outlier,2852.17
16058,missing_deduction,0.0
97,retro_pay_outlier,6541.21
12522,duplicate_payment,5627.77
13756,pay_after_termination,0.0
2124,negative_net_pay,0.0
2522,duplicate_payment,5826.26
11420,retro_pay_outlier,4950.65
13210,new_employee_large_payment,3911.89
14999,duplicate_payment,5190.51
8921,duplicate_payment,4990.28
4909,duplicate_payment,3945.6
9941,negative_net_pay,0.0
11978,pay_after_termination,0.0
181,missing_deduction,0.0
4129,retro_pay_outlier,5939.02
11135,overtime_spike,2854.42
1418,incorrect_pay_rate,2064.31
10030,gross_pay_spike,17404.26
3509,overtime_spike,260681.92
3210,pay_after_termination,0.0
2267,department_payroll_spike,3879.66
2968,duplicate_payment,7332.7
15736,gross_pay_spike,11367.38
718,department_payroll_spike,3388.64
14473,incorrect_pay_rate,1444.3
7632,retro_pay_outlier,4728.92
4102,retro_pay_outlier,4649.33
1762,new_employee_large_payment,6814.61
607,missing_deduction,0.0
16150,gross_pay_spike,8255.25
9975,incorrect_pay_rate,1989.77
4754,duplicate_payment,3599.6
9215,overtime_spike,204584.1
4110,missing_deduction,0.0
6843,new_employee_large_payment,6512.63
11262,retro_pay_outlier,9204.18
4624,new_employee_large_payment,10053.9
6098,gross_pay_spike,10141.23
9136,pay_after_termination,0.0
7756,new_employee_large_payment,7208.17
6353,incorrect_pay_rate,3027.21
11036,gross_pay_spike,15108.61
4354,duplicate_payment,4843.93
7568,department_payroll_spike,3123.96
13179,overtime_spike,266009.1
9096,negative_net_pay,0.0
12055,duplicate_payment,3151.84
7185,negative_net_pay,0.0
