record_id,employee_id,manager_id,department,job_family,location,job_level,pay_type,hire_date,termination_date,base_pay_rate,pay_period_index,pay_period_start,pay_period_end,employment_status,tenure_months,regular_hours,overtime_hours,pay_rate,bonus,commission,retro_pay,manual_adjustment,gross_pay,deductions,net_pay,is_anomaly,anomaly_category,anomaly_dollars
27,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,2,2024-01-19,2024-02-01,active,50,80.0,0.0,3197.44,0.0,0.0,0.0,0.0,3215.3,1077.93,2137.38,0,normal,0.0
28,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,3,2024-02-02,2024-02-15,active,50,80.0,0.56,3197.44,0.0,0.0,0.0,0.0,3308.71,887.61,2421.1,0,normal,0.0
29,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,4,2024-02-16,2024-02-29,active,51,80.0,0.84,3197.44,412.99,0.0,0.0,0.0,3798.97,1050.78,2748.19,0,normal,0.0
30,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,5,2024-03-01,2024-03-14,active,51,80.0,1.06,3197.44,0.0,0.0,0.0,-15.57,3497.31,1061.64,2435.67,0,normal,0.0
31,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,6,2024-03-15,2024-03-28,active,52,80.0,0.0,3197.44,0.0,0.0,0.0,0.0,3274.49,901.15,2373.34,0,normal,0.0
32,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,7,2024-03-29,2024-04-11,active,52,80.0,0.43,3197.44,0.0,0.0,0.0,0.0,3381.16,743.14,2638.02,0,normal,0.0
33,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,8,2024-04-12,2024-04-25,active,53,80.0,0.0,3197.44,0.0,0.0,0.0,0.0,3352.65,514.27,2838.37,0,normal,0.0
34,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,9,2024-04-26,2024-05-09,active,53,80.0,0.0,3197.44,0.0,0.0,0.0,0.0,3286.89,739.02,2547.87,0,normal,0.0
35,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,10,2024-05-10,2024-05-23,active,54,80.0,3.08,3197.44,0.0,0.0,0.0,0.0,3353.19,888.76,2464.43,0,normal,0.0
36,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,11,2024-05-24,2024-06-06,active,54,80.0,0.16,3197.44,0.0,0.0,0.0,0.0,3274.2,944.41,2329.79,0,normal,0.0
37,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,12,2024-06-07,2024-06-20,active,55,80.0,1.88,3197.44,0.0,0.0,0.0,0.0,3209.66,972.44,2237.23,0,normal,0.0
38,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,13,2024-06-21,2024-07-04,active,55,80.0,0.0,3197.44,0.0,0.0,0.0,0.0,3217.72,922.58,2295.14,0,normal,0.0
39,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,14,2024-07-05,2024-07-18,active,56,80.0,1.37,3197.44,0.0,0.0,0.0,0.0,3017.42,628.52,2388.9,0,normal,0.0
40,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,15,2024-07-19,2024-08-01,active,56,80.0,2.77,3197.44,0.0,0.0,0.0,0.0,3161.18,884.89,2276.29,0,normal,0.0
41,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,16,2024-08-02,2024-08-15,active,57,80.0,1.32,3197.44,0.0,0.0,0.0,0.0,3095.14,824.68,2270.47,0,normal,0.0
42,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,2024-08-02,3197.44,17,2024-08-16,2024-08-29,terminated,57,80.0,2.78,3197.44,0.0,0.0,0.0,0.0,3094.44,746.54,2347.9,1,pay_after_termination,0.0
43,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,18,2024-08-30,2024-09-12,active,57,80.0,2.01,3197.44,3044.94,0.0,0.0,0.0,6033.25,1449.67,4583.57,0,normal,0.0
44,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,19,2024-09-13,2024-09-26,active,58,80.0,0.0,3197.44,0.0,0.0,0.0,0.0,3041.06,701.93,2339.13,0,normal,0.0
45,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,20,2024-09-27,2024-10-10,active,58,80.0,1.07,3197.44,0.0,0.0,0.0,0.0,3015.98,802.57,2213.41,0,normal,0.0
46,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,21,2024-10-11,2024-10-24,active,59,80.0,0.15,3197.44,0.0,0.0,0.0,0.0,2992.47,751.8,2240.66,0,normal,0.0
47,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,22,2024-10-25,2024-11-07,active,59,80.0,2.0,3197.44,0.0,0.0,0.0,0.0,2887.87,594.8,2293.07,0,normal,0.0
48,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,23,2024-11-08,2024-11-21,active,60,80.0,1.24,3197.44,0.0,0.0,0.0,-123.11,3035.09,689.72,2345.37,0,normal,0.0
49,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,24,2024-11-22,2024-12-05,active,60,80.0,0.0,3197.44,0.0,0.0,0.0,0.0,3220.13,550.17,2669.97,0,normal,0.0
50,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,25,2024-12-06,2024-12-19,active,61,80.0,1.57,3197.44,0.0,0.0,0.0,0.0,3112.2,614.29,2497.91,0,normal,0.0
51,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,26,2024-12-20,2025-01-02,active,61,80.0,1.51,3197.44,0.0,0.0,0.0,0.0,3283.28,667.59,2615.7,0,normal,0.0
52,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,1,2024-01-05,2024-01-18,active,101,80.0,2.34,6381.57,0.0,0.0,0.0,0.0,6495.87,2116.28,4379.59,0,normal,0.0
53,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,2,2024-01-19,2024-02-01,active,102,80.0,1.19,6381.57,0.0,0.0,0.0,0.0,6581.16,1513.86,5067.3,0,normal,0.0
54,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,3,2024-02-02,2024-02-15,active,102,80.0,0.0,6381.57,0.0,0.0,0.0,0.0,6605.66,1480.58,5125.08,0,normal,0.0
55,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,4,2024-02-16,2024-02-29,active,103,80.0,0.0,6381.57,0.0,0.0,0.0,0.0,6678.2,1607.16,5071.04,0,normal,0.0
56,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,5,2024-03-01,2024-03-14,active,103,80.0,2.28,6381.57,0.0,0.0,0.0,0.0,6908.43,1694.12,5214.31,0,normal,0.0
57,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,6,2024-03-15,2024-03-28,active,104,80.0,1.7,6381.57,0.0,0.0,0.0,0.0,6711.01,1652.19,5058.81,0,normal,0.0
58,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,7,2024-03-29,2024-04-11,active,104,80.0,1.73,6381.57,0.0,0.0,0.0,0.0,6785.5,1484.61,5300.89,0,normal,0.0
59,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,8,2024-04-12,2024-04-25,active,104,80.0,2.12,6381.57,0.0,0.0,0.0,-318.53,6323.87,1864.99,4458.88,0,normal,0.0
60,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,9,2024-04-26,2024-05-09,active,105,80.0,0.0,6381.57,0.0,0.0,0.0,0.0,6854.01,1696.57,5157.45,0,normal,0.0
61,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,10,2024-05-10,2024-05-23,active,105,80.0,0.0,6381.57,0.0,0.0,0.0,0.0,6629.88,1769.42,4860.46,0,normal,0.0
62,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,11,2024-05-24,2024-06-06,active,106,80.0,0.17,6381.57,0.0,0.0,0.0,0.0,6496.45,1268.07,5228.38,0,normal,0.0
63,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,12,2024-06-07,2024-06-20,active,106,80.0,2.68,6381.57,0.0,0.0,0.0,0.0,6481.75,1605.24,4876.51,0,normal,0.0
64,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,13,2024-06-21,2024-07-04,active,107,80.0,0.0,6381.57,0.0,0.0,0.0,-250.52,6172.48,1298.72,4873.77,0,normal,0.0
65,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,14,2024-07-05,2024-07-18,active,107,80.0,0.06,6381.57,0.0,0.0,0.0,0.0,6306.04,1393.19,4912.84,0,normal,0.0
66,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,15,2024-07-19,2024-08-01,active,108,80.0,1.24,6381.57,0.0,0.0,0.0,0.0,6246.7,1558.89,4687.81,0,normal,0.0
67,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,16,2024-08-02,2024-08-15,active,108,80.0,3.44,6381.57,0.0,0.0,0.0,0.0,6078.68,1084.62,4994.07,0,normal,0.0
68,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,17,2024-08-16,2024-08-29,active,109,80.0,0.38,6381.57,0.0,0.0,0.0,0.0,6088.18,1395.16,4693.03,0,normal,0.0
69,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,18,2024-08-30,2024-09-12,active,109,80.0,1.89,6381.57,0.0,0.0,136.36,0.0,6065.79,1383.13,4682.66,0,normal,0.0
70,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,19,2024-09-13,2024-09-26,active,110,80.0,1.23,6381.57,0.0,0.0,0.0,0.0,6082.58,1338.96,4743.62,0,normal,0.0
71,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,20,2024-09-27,2024-10-10,active,110,80.0,0.0,6381.57,0.0,0.0,0.0,0.0,6047.9,1905.18,4142.73,0,normal,0.0
72,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,21,2024-10-11,2024-10-24,active,111,80.0,1.28,6381.57,0.0,0.0,0.0,0.0,6039.75,1842.86,4196.89,0,normal,0.0
73,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,22,2024-10-25,2024-11-07,active,111,80.0,0.49,6381.57,0.0,0.0,0.0,0.0,6082.16,925.98,5156.18,0,normal,0.0
74,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,23,2024-11-08,2024-11-21,active,111,80.0,2.53,6381.57,0.0,0.0,0.0,0.0,6162.84,1640.24,4522.6,0,normal,0.0
75,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,24,2024-11-22,2024-12-05,active,112,80.0,1.65,6381.57,0.0,0.0,0.0,0.0,6111.09,1508.12,4602.96,0,normal,0.0
76,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,25,2024-12-06,2024-12-19,active,112,80.0,1.86,6381.57,0.0,0.0,0.0,0.0,6384.26,1342.59,5041.68,0,normal,0.0
77,SYN-E00003,SYN-M0066,Support,Lead,Austin,3,salaried,2015-09-12,,6381.57,26,2024-12-20,2025-01-02,active,113,80.0,0.26,6381.57,0.0,0.0,0.0,0.0,6354.81,1825.26,4529.55,0,normal,0.0
78,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,1,2024-01-05,2024-01-18,active,81,86.0,1.32,67.17,0.0,0.0,0.0,0.0,5897.37,1075.41,4821.96,0,normal,0.0
79,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,2,2024-01-19,2024-02-01,active,81,70.53,2.33,67.17,0.0,0.0,0.0,0.0,4860.04,1144.0,3716.04,0,normal,0.0
80,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,3,2024-02-02,2024-02-15,active,82,77.13,7.03,67.17,0.0,0.0,0.0,-139.05,5761.2,1631.33,4129.87,0,normal,0.0
81,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,4,2024-02-16,2024-02-29,active,82,77.91,0.77,67.17,0.0,0.0,0.0,0.0,5205.56,1297.14,3908.43,0,normal,0.0
82,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,5,2024-03-01,2024-03-14,active,82,81.92,2.62,67.17,0.0,0.0,0.0,0.0,5789.14,1962.7,3826.44,0,normal,0.0
83,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,6,2024-03-15,2024-03-28,active,83,77.17,4.04,67.17,0.0,0.0,0.0,0.0,5562.34,1179.19,4383.15,0,normal,0.0
84,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,7,2024-03-29,2024-04-11,active,83,75.71,1.35,67.17,0.0,0.0,0.0,-360.28,4807.32,878.41,3928.9,0,normal,0.0
85,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,8,2024-04-12,2024-04-25,active,84,73.42,1.69,67.17,0.0,0.0,0.0,0.0,5098.92,1389.09,3709.84,0,normal,0.0
86,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,9,2024-04-26,2024-05-09,active,84,80.79,1.65,67.17,0.0,0.0,511.64,-33.71,5991.98,973.72,5018.26,0,normal,0.0
87,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,10,2024-05-10,2024-05-23,active,85,72.89,1.85,67.17,0.0,0.0,0.0,0.0,5022.04,1492.35,3529.69,0,normal,0.0
88,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,11,2024-05-24,2024-06-06,active,85,72.3,0.56,67.17,0.0,0.0,0.0,-30.03,4900.85,1181.51,3719.34,0,normal,0.0
89,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,12,2024-06-07,2024-06-20,active,86,69.9,0.06,67.17,0.0,0.0,0.0,0.0,4580.06,1097.1,3482.96,0,normal,0.0
90,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,13,2024-06-21,2024-07-04,active,86,80.58,1.35,67.17,0.0,0.0,0.0,0.0,5482.61,1811.09,3671.52,0,normal,0.0
91,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,14,2024-07-05,2024-07-18,active,87,73.4,3.87,67.17,0.0,0.0,0.0,0.0,5361.13,1427.51,3933.62,0,normal,0.0
92,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,15,2024-07-19,2024-08-01,active,87,69.08,2.04,67.17,0.0,0.0,0.0,0.0,4958.2,1450.03,3508.16,0,normal,0.0
93,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,16,2024-08-02,2024-08-15,active,88,78.06,2.24,67.17,0.0,0.0,0.0,0.0,5384.33,1224.0,4160.33,0,normal,0.0
94,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,17,2024-08-16,2024-08-29,active,88,82.47,1.87,67.17,0.0,0.0,0.0,0.0,5657.44,1244.1,4413.34,0,normal,0.0
95,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,18,2024-08-30,2024-09-12,active,89,80.56,2.58,67.17,0.0,0.0,639.83,0.0,6313.64,1184.96,5128.68,0,normal,0.0
96,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,19,2024-09-13,2024-09-26,active,89,79.9,4.99,67.17,0.0,0.0,0.0,0.0,5848.52,1397.28,4451.24,0,normal,0.0
97,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,20,2024-09-27,2024-10-10,active,89,79.26,1.1,67.17,0.0,0.0,6541.21,0.0,11992.22,1292.26,10699.96,1,retro_pay_outlier,6541.21
98,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,21,2024-10-11,2024-10-24,active,90,85.19,0.48,67.17,0.0,0.0,0.0,0.0,5772.94,1327.58,4445.36,0,normal,0.0
99,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,22,2024-10-25,2024-11-07,active,90,79.98,6.01,67.17,0.0,0.0,0.0,0.0,5920.14,1310.4,4609.74,0,normal,0.0
100,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,23,2024-11-08,2024-11-21,active,91,76.32,7.48,67.17,0.0,0.0,0.0,0.0,5888.15,1530.59,4357.57,0,normal,0.0
101,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,24,2024-11-22,2024-12-05,active,91,74.46,4.14,67.17,0.0,0.0,0.0,0.0,5421.24,1315.19,4106.04,0,normal,0.0
102,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,25,2024-12-06,2024-12-19,active,92,80.12,0.65,67.17,0.0,0.0,0.0,0.0,5402.28,1410.99,3991.28,0,normal,0.0
103,SYN-E00004,SYN-M0034,Finance,Accounting,Chicago,5,hourly,2017-05-21,,67.17,26,2024-12-20,2025-01-02,active,92,75.08,1.86,67.17,0.0,0.0,0.0,0.0,5234.51,709.32,4525.19,0,normal,0.0
104,SYN-E00005,SYN-M0042,Operations,Supervisor,Chicago,4,salaried,2018-10-21,2024-08-29,6635.2,1,2024-01-05,2024-01-18,active,63,80.0,0.88,6635.2,0.0,0.0,0.0,0.0,6792.07,1193.28,5598.8,0,normal,0.0
105,SYN-E00005,SYN-M0042,Operations,Supervisor,Chicago,4,salaried,2018-10-21,2024-08-29,6635.2,2,2024-01-19,2024-02-01,active,64,80.0,1.35,6635.2,0.0,0.0,0.0,0.0,6657.6,999.92,5657.68,0,normal,0.0
106,SYN-E00005,SYN-M0042,Operations,Supervisor,Chicago,4,salaried,2018-10-21,2024-08-29,6635.2,3,2024-02-02,2024-02-15,active,64,80.0,0.51,6635.2,0.0,0.0,0.0,0.0,6967.4,1368.99,5598.41,0,normal,0.0
107,SYN-E00005,SYN-M0042,Operations,Supervisor,Chicago,4,salaried,2018-10-21,2024-08-29,6635.2,4,2024-02-16,2024-02-29,active,65,80.0,0.0,6635.2,0.0,0.0,0.0,0.0,6953.26,2080.66,4872.6,0,normal,0.0
108,SYN-E00005,SYN-M0042,Operations,Supervisor,Chicago,4,salaried,2018-10-21,2024-08-29,6635.2,5,2024-03-01,2024-03-14,active,65,80.0,0.73,6635.2,0.0,0.0,0.0,0.0,6937.49,1370.86,5566.63,0,normal,0.0
109,SYN-E00005,SYN-M0042,Operations,Supervisor,Chicago,4,salaried,2018-10-21,2024-08-29,6635.2,6,2024-03-15,2024-03-28,active,66,80.0,0.25,6635.2,0.0,0.0,0.0,0.0,7123.77,1842.27,5281.5,0,normal,0.0
110,SYN-E00005,SYN-M0042,Operations,Supervisor,Chicago,4,salaried,2018-10-21,2024-08-29,6635.2,7,2024-03-29,2024-04-11,active,66,80.0,0.62,6635.2,0.0,0.0,0.0,0.0,6993.27,1603.22,5390.05,0,normal,0.0
111,SYN-E00005,SYN-M0042,Operations,Supervisor,Chicago,4,salaried,2018-10-21,2024-08-29,6635.2,8,2024-04-12,2024-04-25,active,67,80.0,1.5,6635.2,0.0,0.0,0.0,0.0,7007.83,1782.31,5225.52,0,normal,0.0
