rank,employee_id,pay_period_index,final_anomaly_score,risk_category,primary_reason,secondary_reason,gross_pay,expected_gross_pay,difference_from_expected,peer_context,rule_reason_codes,dollars_at_risk,anomaly_category,explanation,rule_pay_after_termination,rule_duplicate_signature,rule_nonpositive_active_pay,rule_negative_net_pay,rule_net_exceeds_gross,rule_extreme_overtime,rule_large_manual_adjustment,rule_pay_rate_change
27,SYN-E00588,1,0.15941031812058476,low,High combined anomaly score,Review recommended before treating the record as an approved exception,5233.9,,982.2950000000001,4251.605,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
28,SYN-E00114,1,0.15911972428900925,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,1914.4,,-1988.4,3902.8,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
29,SYN-E00059,1,0.1562576770915266,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,1877.09,,-2347.2699999999995,4224.36,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
30,SYN-E00319,1,0.15524804702468364,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,5727.15,,2161.9599999999996,3565.19,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
31,SYN-E00444,1,0.15374260046593496,low,High combined anomaly score,Review recommended before treating the record as an approved exception,3110.53,,-1188.19,4298.72,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
32,SYN-E00360,1,0.15222768710895956,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7701.44,,0.0,7701.44,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
33,SYN-E00001,1,0.1518631781497624,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,6515.34,,2402.55,4112.79,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
34,SYN-E00428,1,0.15108957965340464,low,High combined anomaly score,Elevated overtime hours contribute to payroll risk,7098.94,,1153.96,5944.98,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Elevated overtime hours contribute to payroll risk. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
35,SYN-E00437,1,0.15104757546961836,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7356.5,,1637.33,5719.17,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
36,SYN-E00198,1,0.14931119744065352,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7550.74,,1916.875,5633.865,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
37,SYN-E00081,1,0.1464497217608643,low,High combined anomaly score,Review recommended before treating the record as an approved exception,1859.87,,-1802.1800000000003,3662.05,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
38,SYN-E00063,1,0.14526962135978644,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,2123.43,,-3157.35,5280.78,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
39,SYN-E00236,1,0.14499023354979737,low,High combined anomaly score,Review recommended before treating the record as an approved exception,1869.1,,-1160.4700000000003,3029.57,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
40,SYN-E00039,1,0.1444984462067717,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7249.53,,2083.3899999999994,5166.14,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
41,SYN-E00049,1,0.14056137080777473,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7648.71,,1481.6999999999998,6167.01,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
42,SYN-E00111,1,0.14021482250022604,low,High combined anomaly score,Review recommended before treating the record as an approved exception,6933.26,,1652.4800000000005,5280.78,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
43,SYN-E00491,1,0.14009967932513726,low,High combined anomaly score,Review recommended before treating the record as an approved exception,6169.5,,1447.0200000000004,4722.48,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
44,SYN-E00124,1,0.13933948812182523,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7218.81,,1913.13,5305.68,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
45,SYN-E00157,1,0.13714371435462602,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7324.33,,457.35000000000036,6866.98,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
46,SYN-E00184,1,0.13697813379177998,low,High combined anomaly score,Review recommended before treating the record as an approved exception,6866.98,,0.0,6866.98,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
47,SYN-E00022,1,0.13644133759539218,low,High combined anomaly score,Review recommended before treating the record as an approved exception,6084.88,,1833.2750000000005,4251.605,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
48,SYN-E00589,1,0.13515685378077402,low,High combined anomaly score,Review recommended before treating the record as an approved exception,2084.46,,-1885.8899999999999,3970.35,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
49,SYN-E00379,1,0.13305625089082987,low,High combined anomaly score,Review recommended before treating the record as an approved exception,6656.05,,589.9899999999998,6066.06,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
50,SYN-E00585,1,0.13183591870327782,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,5538.98,,2509.4099999999994,3029.57,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
1,SYN-E00397,2,0.6388259173378628,medium,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,23493.12,5653.03,17840.09,3997.25,none,17404.26,gross_pay_spike,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
2,SYN-E00436,2,0.632642458096203,medium,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,21738.48,6064.25,15674.23,5005.36,none,15108.61,gross_pay_spike,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
3,SYN-E00030,2,0.34684492524095156,low,Gross pay changed sharply versus prior payroll history,Review recommended before treating the record as an approved exception,9054.55,3998.88,5055.669999999999,6386.135,none,5281.82,new_employee_large_payment,"Synthetic payroll record requires review: Gross pay changed sharply versus prior payroll history. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
4,SYN-E00486,2,0.2576717721316114,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,7668.59,7574.64,93.94999999999982,3455.6499999999996,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
5,SYN-E00232,2,0.2394846829819685,low,High combined anomaly score,Review recommended before treating the record as an approved exception,9712.88,11241.09,-1528.210000000001,9712.88,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
6,SYN-E00305,2,0.22508166774940697,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,8668.37,8676.65,-8.279999999998836,5638.775,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
7,SYN-E00585,2,0.21847706586569565,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,6214.55,5538.98,675.5700000000006,2474.59,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
8,SYN-E00190,2,0.21155067513957285,low,High combined anomaly score,Review recommended before treating the record as an approved exception,5811.0,4206.12,1604.88,4668.5650000000005,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
9,SYN-E00506,2,0.20956641877837603,low,High combined anomaly score,Elevated overtime hours contribute to payroll risk,4845.35,3530.95,1314.4000000000005,4845.35,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Elevated overtime hours contribute to payroll risk. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
10,SYN-E00261,2,0.2064747602451362,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,7579.26,7378.94,200.32000000000062,4277.68,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
11,SYN-E00001,2,0.2047702644711388,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,7218.15,6515.34,702.8099999999995,3816.99,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
12,SYN-E00337,2,0.19317841293344024,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,6516.92,5429.1,1087.8199999999997,3961.08,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
13,SYN-E00243,2,0.18768609685896925,low,Gross pay changed sharply versus prior payroll history,Review recommended before treating the record as an approved exception,3739.05,13574.89,-9835.84,3738.485,none,0.0,normal,"Synthetic payroll record requires review: Gross pay changed sharply versus prior payroll history. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
14,SYN-E00154,2,0.18477399669379033,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,6730.64,6758.8,-28.159999999999854,3731.94,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
15,SYN-E00341,2,0.18205217900541082,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7996.9,8067.11,-70.21000000000004,5775.549999999999,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
16,SYN-E00059,2,0.18185953828256773,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,1833.68,1877.09,-43.409999999999854,4472.3,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
17,SYN-E00240,2,0.17819425570171826,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,6371.22,6265.04,106.18000000000029,3018.96,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
18,SYN-E00416,2,0.17644311080705327,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7403.03,5305.68,2097.3499999999995,5788.79,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
19,SYN-E00445,2,0.17511054243484903,low,Gross pay changed sharply versus prior payroll history,Review recommended before treating the record as an approved exception,7368.31,16874.33,-9506.02,5415.83,none,0.0,normal,"Synthetic payroll record requires review: Gross pay changed sharply versus prior payroll history. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
20,SYN-E00198,2,0.17425969471109964,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7671.06,7550.74,120.32000000000062,5638.775,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
21,SYN-E00114,2,0.17298925298282317,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,1877.66,1914.4,-36.74000000000001,3782.475,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
22,SYN-E00244,2,0.17285839667662328,low,High combined anomaly score,Review recommended before treating the record as an approved exception,3156.55,2409.73,746.8200000000002,3381.05,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
23,SYN-E00110,2,0.17177083661889825,low,Rule flag: negative_net_pay,Review recommended before treating the record as an approved exception,3151.34,3469.39,-318.0499999999997,3614.17,negative_net_pay,0.0,negative_net_pay,"Synthetic payroll record requires review: Rule flag: negative_net_pay. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,1,0,0,0,0
24,SYN-E00414,2,0.17018029554939706,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7730.83,7107.93,622.8999999999996,6526.405,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
25,SYN-E00542,2,0.16991537562257747,low,Gross pay changed sharply versus prior payroll history,Review recommended before treating the record as an approved exception,4784.0,2724.16,2059.84,3728.3,none,0.0,normal,"Synthetic payroll record requires review: Gross pay changed sharply versus prior payroll history. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
26,SYN-E00054,2,0.169364087985373,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,6153.46,5717.88,435.5799999999999,3346.34,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
27,SYN-E00039,2,0.16772254065128317,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7448.29,7249.53,198.76000000000022,5153.03,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
28,SYN-E00077,2,0.16748661778321303,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7302.54,5503.73,1798.8100000000004,5901.05,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
29,SYN-E00063,2,0.16416244221951837,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,2190.78,2123.43,67.35000000000036,5242.48,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
30,SYN-E00628,2,0.16156687178177304,low,Gross pay changed sharply versus prior payroll history,Review recommended before treating the record as an approved exception,6507.35,4298.72,2208.63,4957.19,none,0.0,normal,"Synthetic payroll record requires review: Gross pay changed sharply versus prior payroll history. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
31,SYN-E00263,2,0.15830001458352833,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7485.61,6839.63,645.9799999999996,6074.05,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
32,SYN-E00111,2,0.15315521832864076,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7214.64,6933.26,281.3800000000001,5242.48,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
